WYBÓR 	WYBÓRC 	WYBÓRD 	Identyfikator 	Indeks 	Asortyment 	Cena brutto 	jm 	Cena jednostki 	Cena opakowania 	PUSTY0 	Ident. 	S_Indeks 	S_Identyfikator 	S_Asortyment 	S_Cena brutto 	PUSTY1 
1	0.005889999999999928	0.005889999999999928	ZSZYW.NOVUS C2	NOVUS_C2	BIUROWE	27,99	szt			stara cena 28.50	18821	NOVUS_C2	ZSZYW.NOVUS C2	BIUROWE	28,5	
1.0014200000000093	0.00730999999999987	1	ZESZYT 80K.	80	SZKOLNE	1,4	szt			=	10020	80	ZESZYT 80K.	SZKOLNE	1,4	
1.0014400000000094	0.00732999999999987	2	ZESZYT 60K	60	SZKOLNE	0,85	szt			=	10017	60	ZESZYT 60K	SZKOLNE	0,85	
1.0014900000000098	1	2.0000500000000003	ZESZYT 16K	16	SZKOLNE	0,49	szt			=	10013	16	ZESZYT 16K	SZKOLNE	0,49	
2	1.0015900000000104	2.0016400000000107	ZEST.KREATYW.D/KOLOR.FROZEN	5902012766989	SZKOLNE	11,99	kpl			=	11944	ZZ5902012766989	ZZ ZEST.KREATYW.D/KOLOR.FROZEN	SZKOLNE	11,99	
3	1.0039200000000257	2.003970000000026	ZAK£.SAMOP.B.4X20X50/40	5905833040115	BIUROWE	3,3	op			obni¿ka -13%	17092	5905833040115	ZAK£.SAMOP.B.4X20X50/40	BIUROWE	3,8	
4	1.0094900000000622	2.0095400000000625	WK£AD D£.PENTEL N.LRN5-C	072512167281	BIUROWE	3,8	szt			=	15946	72512167281	WK£AD D£.PENTEL N.LRN5-C	BIUROWE	3,8	
5	1.0095000000000622	2.0095500000000626	WK£AD D£.PENTEL CZ.BLN35	072512167229	BIUROWE	3,8	szt			=	19208	72512167229	WK£AD D£.PENTEL CZ.BLN35	BIUROWE	3,8	
6	1.0127200000000833	2.0127700000000837	VERBATIM EXTERNAL HDD USB BLACK	023942530237	KOMPUTER	59,0	szt			=	13278	23942530237	VERBATIM EXTERNAL HDD USB BLACK	KOMPUTER	59,0	
7	1.0145200000000951	2.0145700000000955	TUSZ HPC9362 NR336 5ML CZARNY	829160798929	KOMPUTER	80,63	szt	cena 16.13z³/ml		stara cena 83.46	13722	829160798929	TUSZ HPC9362 NR336 5ML CZARNY	KOMPUTER	83,46	
8	1.014660000000096	2.0147100000000964	TUSZ HPC8728 NR28 8ML KOLOR	884962780732	KOMPUTER	118,82	szt	cena 14.85z³/ml		stara cena 125.89	13562	884962780732	TUSZ HPC8728 NR28 8ML KOLOR	KOMPUTER	125,89	
9	1.014670000000096	2.0147200000000964	TUSZ HPC8727 NR27 10ML CZARNY	884962780718	KOMPUTER	107,5	szt	cena 10.75z³/ml		stara cena 111.75	13592	884962780718	TUSZ HPC8727 NR27 10ML CZARNY	KOMPUTER	111,75	
10	1.0147300000000965	2.014780000000097	TUSZ HPC6628 NR19 BLACK  30ML	025184176679	KOMPUTER	142,86	szt	cena 4.76z³/ml		=	10557	25184176679	TUSZ HPC6628 NR19 BLACK  30ML	KOMPUTER	142,86	
11	1.0148800000000975	2.014930000000098	TUSZ HPC4844A NR10 CZARNY 69ML	088698205440	KOMPUTER	198,03	szt	cena 2.87z³/ml		stara cena 206.52	10558	88698205440	TUSZ HPC4844A NR10 CZARNY 69ML	KOMPUTER	206,52	
12	1.014950000000098	2.0150000000000983	TUSZ HPC1823 NR23 KOLOR 30ML	088698687277	KOMPUTER	165,5	szt	cena 5.52z³/ml		=	10704	88698687277	TUSZ HPC1823 NR23 KOLOR 30ML	KOMPUTER	165,5	
13	1.014970000000098	2.0150200000000984	TUSZ HP51640A NR40 CZARNY 42ML	088698200186	KOMPUTER	138,62	szt	cena 3.47z³/ml		=	12195	88698200186	TUSZ HP51640A NR40 CZARNY 42ML	KOMPUTER	138,62	
14	1.0149800000000981	2.0150300000000985	TUSZ HP51626A NR26 CZARNY 40ML	088698191965	KOMPUTER	144,28	szt.	cena 3.61z³/ml		=	10593	88698191965	TUSZ HP51626A NR26 CZARNY 40ML	KOMPUTER	144,28	
15	1.0151800000000994	2.0152300000000998	TUSZ EPSON T1291 CZARNY	8715946494500	KOMPUTER	70,73	szt			stara cena 72.14	17262	8715946494500	TUSZ EPSON T1291 CZARNY	KOMPUTER	72,14	
16	1.0155100000001016	2.015560000000102	TUSZ EPSON T026 CZARNY	010343837416	KOMPUTER	117,7	szt	cena 7.36z³/ml		=	11223	10343837416	TUSZ EPSON T026 CZARNY	KOMPUTER	117,7	
17	1.0158100000001036	2.015860000000104	TUSZ CAN.CL-38 9ML KOLOR	4960999641751	KOMPUTER	80,63	szt	cena 8.96z³/ml		stara cena 83.46	23742	4960999641751	TUSZ CAN.CL-38 9ML KOLOR	KOMPUTER	83,46	
18	1.0159700000001046	2.016020000000105	TUSZ BROTHER LC1240YELLOW	4977766694032	KOMPUTER	62,24	szt			stara cena 66.48	24107	4977766694032	TUSZ BROTHER LC1240YELLOW	KOMPUTER	66,48	
19	1.0159900000001048	2.016040000000105	TUSZ BROTHER LC1240MAGENTA	4977766694025	KOMPUTER	62,24	szt			stara cena 66.48	15533	4977766694025	TUSZ BROTHER LC1240MAGENTA	KOMPUTER	66,48	
20	1.0160100000001049	2.016060000000105	TUSZ BROTHER LC1240CYAN	4977766694018	KOMPUTER	62,24	szt			stara cena 66.48	25769	4977766694018	TUSZ BROTHER LC1240CYAN	KOMPUTER	66,48	
21	1.016040000000105	2.0160900000001054	TUSZ BROTHER LC1240BK	4977766694001	KOMPUTER	96,19	szt			stara cena 100.43	29344	4977766694001	TUSZ BROTHER LC1240BK	KOMPUTER	100,43	
22	1.0161000000001055	2.016150000000106	TUSZ BROTHER LC1100 BK	4977766659680	KOMPUTER	80,63	szt			stara cena 89.11	21130	4977766659680	TUSZ BROTHER LC1100 BK	KOMPUTER	89,11	
23	1.0181300000001188	2.018180000000119	TOREBKI N/MR.6L/20SZT KLIPS STELLA	5903936005093	OPAKOWANIA	4,7	op			stara cena 4.90	15538	5903936005093	TOREBKI N/MR.6L/20SZT KLIPS STELLA	OPAKOWANIA	4,9	
24	1.0181400000001188	2.018190000000119	TOREBKI N/MR.3L/25SZT KLIPS STELLA	5903936005086	OPAKOWANIA	4,2	op			stara cena 4.40	25203	5903936005086	TOREBKI N/MR.3L/25SZT KLIPS STELLA	OPAKOWANIA	4,4	
25	1.018160000000119	2.0182100000001193	TOREBKI N/MR.2L/30SZT KLIPS STELLA	5903936005079	OPAKOWANIA	3,8	op			stara cena 3.90	20341	5903936005079	TOREBKI N/MR.2L/30SZT KLIPS STELLA	OPAKOWANIA	3,9	
26	1.0183800000001204	2.0184300000001207	TOREBKA N/RAM.987363 MONSTER HIGH	061623272182	SZKOLNE	44,0	szt			=	11469	61623272182	TOREBKA N/RAM.987363 MONSTER HIGH	SZKOLNE	44,0	
27	1.0193200000001266	2.019370000000127	TORBA N/RAM.987364AGF MONSTER H.	061623272199	SZKOLNE	62,0	szt			=	16007	61623272199	TORBA N/RAM.987364AGF MONSTER H.	SZKOLNE	62,0	
28	1.019680000000129	2.0197300000001293	TONER XEROX 13R00606 PE120	095205136067	KOMPUTER	486,59	szt			=	28599	95205136067	TONER XEROX 13R00606 PE120	KOMPUTER	486,59	
29	1.019700000000129	2.0197500000001294	TONER XEROX 106R02182	095205850758	KOMPUTER	240,47	szt			=	12052	95205850758	TONER XEROX 106R02182	KOMPUTER	240,47	
30	1.0197200000001292	2.0197700000001295	TONER XEROX 106R01227	095205602777	KOMPUTER	140,04	op			=	12207	95205602777	TONER XEROX 106R01227	KOMPUTER	140,04	
31	1.0197300000001293	2.0197800000001296	TONER XEROX 106R01159	095205220780	KOMPUTER	240,47	szt			=	15622	95205220780	TONER XEROX 106R01159	KOMPUTER	240,47	
32	1.020160000000132	2.0202100000001324	TONER RICOH MP2501	841991	KOMPUTER	91,94	szt			stara cena 94.77	16458	841991	TONER RICOH MP2501	KOMPUTER	94,77	
33	1.020460000000134	2.0205100000001344	TONER MINOLTA PP1480MF	039281054280	KOMPUTER	452,64	szt			=	14825	39281054280	TONER MINOLTA PP1480MF	KOMPUTER	452,64	
34	1.020470000000134	2.0205200000001344	TONER MINOLTA BIZHUB C35 M TNP22M	039281053511	KOMPUTER	99,02	szt			=	19478	39281053511	TONER MINOLTA BIZHUB C35 M TNP22M	KOMPUTER	99,02	
35	1.0204800000001342	2.0205300000001345	TONER MINOLTA BIZHUB C35 C TNP22C	039281053535	KOMPUTER	99,02	szt			=	28423	39281053535	TONER MINOLTA BIZHUB C35 C TNP22C	KOMPUTER	99,02	
36	1.0204900000001342	2.0205400000001346	TONER MINOLTA BIZHUB C35 BK TNP22K	039281053559	KOMPUTER	99,02	szt			=	24610	39281053559	TONER MINOLTA BIZHUB C35 BK TNP22K	KOMPUTER	99,02	
